timestamp,plc_id,plc_ip,reg_0_inlet_valve,reg_1,reg_2,reg_3,reg_4,reg_5_tank_level,source_ip,function_code,function_name
2026-06-13T09:24:21+00:00,plc_intake,172.21.0.10,0,0,0,0,0,47.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:26+00:00,plc_intake,172.21.0.10,0,0,0,0,0,49.7,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:31+00:00,plc_intake,172.21.0.10,0,0,0,0,0,51.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:36+00:00,plc_intake,172.21.0.10,0,0,0,0,0,53.7,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:41+00:00,plc_intake,172.21.0.10,0,0,0,0,0,56.1,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:46+00:00,plc_intake,172.21.0.10,0,0,0,0,0,58.4,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:51+00:00,plc_intake,172.21.0.10,0,0,0,0,0,60.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:24:56+00:00,plc_intake,172.21.0.10,0,0,0,0,0,62.1,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:01+00:00,plc_intake,172.21.0.10,0,0,0,0,0,63.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:06+00:00,plc_intake,172.21.0.10,0,0,0,0,0,64.9,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:11+00:00,plc_intake,172.21.0.10,0,0,0,0,0,66.2,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:16+00:00,plc_intake,172.21.0.10,0,0,0,0,0,67.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:21+00:00,plc_intake,172.21.0.10,0,0,0,0,0,68.7,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:26+00:00,plc_intake,172.21.0.10,0,0,0,0,0,69.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:31+00:00,plc_intake,172.21.0.10,0,0,0,0,0,71.3,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:36+00:00,plc_intake,172.21.0.10,0,0,0,0,0,72.6,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:41+00:00,plc_intake,172.21.0.10,0,0,0,0,0,73.5,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:46+00:00,plc_intake,172.21.0.10,0,0,0,0,0,74.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:51+00:00,plc_intake,172.21.0.10,0,0,0,0,0,76.3,172.22.0.10,3,READ_HOLDING
2026-06-13T09:25:56+00:00,plc_intake,172.21.0.10,0,0,0,0,0,76.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:01+00:00,plc_intake,172.21.0.10,0,0,0,0,0,78.2,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:06+00:00,plc_intake,172.21.0.10,0,0,0,0,0,79.4,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:11+00:00,plc_intake,172.21.0.10,0,0,0,0,0,80.1,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:16+00:00,plc_intake,172.21.0.10,0,0,0,0,0,80.6,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:21+00:00,plc_intake,172.21.0.10,0,0,0,0,0,94.3,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:26+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.4,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:31+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.4,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:36+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:41+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:46+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:51+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:26:56+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:01+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:06+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:11+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:16+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:21+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:26+00:00,plc_intake,172.21.0.10,0,0,0,0,0,95.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:31+00:00,plc_intake,172.21.0.10,0,0,0,0,0,94.6,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:36+00:00,plc_intake,172.21.0.10,0,0,0,0,0,94.4,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:41+00:00,plc_intake,172.21.0.10,0,0,0,0,0,94.3,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:46+00:00,plc_intake,172.21.0.10,0,0,0,0,0,94.0,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:51+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.9,172.22.0.10,3,READ_HOLDING
2026-06-13T09:27:56+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.6,172.22.0.10,3,READ_HOLDING
2026-06-13T09:28:01+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.5,172.22.0.10,3,READ_HOLDING
2026-06-13T09:28:06+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:28:11+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:28:16+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.8,172.22.0.10,3,READ_HOLDING
2026-06-13T09:28:21+00:00,plc_intake,172.21.0.10,0,0,0,0,0,93.6,172.22.0.10,3,READ_HOLDING
